Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1e1rQNYCZToyBDDka1Io34,"Werewolf","Scoring The End Of The World","Motionless In White",2022-06-10,212082,63,false,bananaslug-10,2024-10-30T17:01:03Z,"metalcore,metal,screamo","Roadrunner Records",0.495,0.951,10,-3.01,0,0.149,0.0006,0,0.116,0.515,95.01,4
spotify:track:3Mol9yc6kEdpu8lKEvsune,"Timebomb","Timebomb","Motionless In White",2021-08-20,226124,52,false,bananaslug-10,2024-10-30T17:04:37Z,"metalcore,metal,screamo","Roadrunner Records",0.52,0.96,1,-4.235,1,0.184,0.0000137,0,0.0807,0.298,119.972,4
spotify:track:0SnvI0twJ1Mnh0rJlBRrf0,"Voices","Graveyard Shift","Motionless In White",2017-05-05,224000,71,false,bananaslug-10,2024-09-25T06:33:11Z,"metalcore,metal,screamo","Roadrunner Records",0.499,0.937,6,-2.492,1,0.0605,0.0000454,0.00000611,0.477,0.569,90.029,4
spotify:track:11EVeW30HHEMZZsWgWzdfN,"Eternally Yours","Graveyard Shift","Motionless In White",2017-05-05,312351,65,false,bananaslug-10,2024-09-25T16:28:16Z,"metalcore,metal,screamo","Roadrunner Records",0.481,0.94,10,-3.288,0,0.0564,0.00113,0,0.107,0.194,94.948,4
spotify:track:7petzbAJP403GAY6F3Zfbx,"Soft","Graveyard Shift","Motionless In White",2017-05-05,210000,63,true,bananaslug-10,2024-09-25T16:37:03Z,"metalcore,metal,screamo","Roadrunner Records",0.488,0.967,1,-1.825,1,0.103,0.00000463,0.00018,0.494,0.331,94.99,4
spotify:track:6Rt9GlwZEDU0V3vhXrUNqJ,"Necessary Evil (feat. Jonathan Davis)","Graveyard Shift","Motionless In White,Jonathan Davis",2017-05-05,228053,58,true,bananaslug-10,2024-09-25T16:45:20Z,"metalcore,metal,screamo","Roadrunner Records",0.579,0.946,9,-2.732,0,0.054,0.000128,0.0000238,0.335,0.4,99.937,4
spotify:track:0mDMySNeFk7O6DDslIcfPO,"Rats","Graveyard Shift","Motionless In White",2017-05-05,235840,52,true,bananaslug-10,2024-09-25T17:01:56Z,"metalcore,metal,screamo","Roadrunner Records",0.557,0.934,5,-3.312,1,0.0367,0.000321,0.00000673,0.119,0.428,89.984,4
spotify:track:7D7byMFEWbDbkgOGX4EugP,"Untouchable","Graveyard Shift","Motionless In White",2017-05-05,238306,48,true,bananaslug-10,2024-09-25T17:08:03Z,"metalcore,metal,screamo","Roadrunner Records",0.536,0.917,10,-2.257,0,0.0337,0.0000875,0.000181,0.383,0.718,97.498,4
spotify:track:3Avo2sje8LYkKcedVEFkHI,"Hourglass","Graveyard Shift","Motionless In White",2017-05-05,225333,44,false,bananaslug-10,2024-09-25T17:21:40Z,"metalcore,metal,screamo","Roadrunner Records",0.358,0.967,0,-2.278,1,0.109,0.0000378,0.0000129,0.33,0.367,119.58,4
spotify:track:4vVUoi4U6ikqH2wIoE2fmG,"Reincarnate","Reincarnate","Motionless In White",2014-09-15,220040,64,true,bananaslug-10,2024-09-25T16:25:34Z,"metalcore,metal,screamo","Fearless Records",0.478,0.992,7,-3.165,1,0.211,0.000245,0.000206,0.327,0.117,109.969,4
